,Year,Month,Day,HomeTeam,AwayTeam,HomeScore,AwayScore,Tournament,Location,RatingTeam1,RatingTeam2,MatchName,Date,TotalGoals,Result,NewResult,HigherRating,LowerRating,HigherTeam,LowerTeam,HigherTeamScoring,HigherTeamConceding,LowerTeamScoring,LowerTeamConceding,HigherTeamExpectedScoring,HigherTeamExpectedConceding,RatingTotal,RatingDifferenceAbsolute,RatingDifferenceRelative
1120,2017,6,8,Australia,Saudi Arabia,3,2,World Cup qualifier,,1720,1605,Australia-Saudi Arabia,2017-06-08,5,3-2,3-2,1720,1605,Australia,Saudi Arabia,2.197251058319764,0.8281647745148009,2.555925838429003,0.6603353301059682,1.536915728213796,-1.727761063914202,3325,115,1.071651090342679
1122,2017,6,8,Costa Rica,Panama,0,0,World Cup qualifier,,1757,1655,Costa Rica-Panama,2017-06-08,0,0-0,0-0,1757,1655,Costa Rica,Panama,1.0407409003989005,0.9429261822677804,0.7377121367267745,0.7165460887692647,0.3241948116296358,0.20521404554100586,3412,102,1.061631419939577
1131,2017,6,9,Bosnia and Herzegovina,Greece,0,0,World Cup qualifier,,1754,1679,Bosnia and Herzegovina-Greece,2017-06-09,0,0-0,0-0,1754,1679,Bosnia and Herzegovina,Greece,2.4595217375799314,0.8827707009552992,1.4862979290747969,0.8786862900845331,1.5808354474953983,-0.6035272281194977,3433,75,1.0446694460988684
1140,2017,6,9,Sweden,France,2,1,World Cup qualifier,,1813,1968,Sweden-France,2017-06-09,3,2-1,1-2,1968,1813,France,Sweden,2.178870864089757,0.7529483629672442,2.0179988029854887,0.9810904502718651,1.1977804138178918,-1.2650504400182445,3781,155,1.0854936569222284
1145,2017,6,10,Cameroon,Morocco,1,0,African Nations Cup qualifier,,1694,1602,Cameroon-Morocco,2017-06-10,1,1-0,1-0,1694,1602,Cameroon,Morocco,1.2219452510491695,0.7747062537640836,1.1556532890253128,0.6945229779847768,0.5274222730643927,-0.3809470352612292,3296,92,1.0574282147315854
1158,2017,6,10,Poland,Romania,3,1,World Cup qualifier,,1873,1667,Poland-Romania,2017-06-10,4,3-1,3-1,1873,1667,Poland,Romania,1.758122171353829,0.8583353206556001,0.8715074663408264,0.9003942251065138,0.8577279462473153,-0.013172145685226289,3540,206,1.1235752849430114
1159,2017,6,10,Scotland,England,2,2,World Cup qualifier,,1687,1918,Scotland-England,2017-06-10,4,2-2,2-2,1918,1687,England,Scotland,1.4608113787404506,0.6859858454257828,0.9461881497692644,1.1690437122593487,0.291767666481102,-0.26020230434348157,3605,231,1.1369294605809128
1172,2017,6,11,Iceland,Croatia,1,0,World Cup qualifier,,1802,1851,Iceland-Croatia,2017-06-11,1,1-0,0-1,1851,1802,Croatia,Iceland,1.5469773893482945,0.9235292978130827,1.249744554297197,0.8273798313191033,0.7195975580291912,-0.3262152564841143,3653,49,1.0271920088790234
1173,2017,6,11,Ireland,Austria,1,1,World Cup qualifier,,1776,1695,Ireland-Austria,2017-06-11,2,1-1,1-1,1776,1695,Ireland,Austria,1.4187920028276753,1.0974800830857232,1.1329464752858893,1.0379356514094222,0.380856351418253,-0.03546639220016612,3471,81,1.047787610619469
1178,2017,6,11,Mexico,United States,1,1,World Cup qualifier,,1922,1766,Mexico-United States,2017-06-11,2,1-1,1-1,1922,1766,Mexico,United States,1.8397425036289596,0.6235658754105489,1.802278291134317,0.731150456564404,1.1085920470645556,-1.178712415723768,3688,156,1.0883352208380521
